police_station,day_of_week,hour,unique_vehicle_types,vehicle_types
Electronic City,Thursday,8,6,"['CAR', 'FACTORY BUS', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TANKER']"
Electronic City,Thursday,9,7,"['CAR', 'HGV', 'MOTOR CYCLE', 'OTHERS', 'PRIVATE BUS', 'SCOOTER', 'TOURIST BUS']"
Electronic City,Thursday,19,2,"['HGV', 'TOURIST BUS']"
Electronic City,Thursday,20,8,"['CAR', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOTOR CYCLE', 'PRIVATE BUS', 'SCOOTER', 'TOURIST BUS']"
Electronic City,Thursday,21,11,"['CAR', 'HGV', 'JEEP', 'LGV', 'LORRY/GOODS VEHICLE', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'TEMPO']"
Electronic City,Thursday,22,7,"['CAR', 'HGV', 'LGV', 'LORRY/GOODS VEHICLE', 'OTHERS', 'SCOOTER', 'TANKER']"
Electronic City,Thursday,23,6,"['CAR', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'VAN']"
Electronic City,Tuesday,0,6,"['CAR', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Electronic City,Tuesday,1,8,"['CAR', 'LGV', 'LORRY/GOODS VEHICLE', 'MOTOR CYCLE', 'SCOOTER', 'TANKER', 'TEMPO', 'VAN']"
Electronic City,Tuesday,2,4,"['CAR', 'LGV', 'MOTOR CYCLE', 'SCOOTER']"
Electronic City,Tuesday,3,7,"['CAR', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER']"
Electronic City,Tuesday,4,6,"['CAR', 'GOODS AUTO', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Electronic City,Tuesday,5,8,"['CAR', 'GOODS AUTO', 'HGV', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'VAN']"
Electronic City,Tuesday,6,11,"['BUS (BMTC/KSRTC)', 'CAR', 'GOODS AUTO', 'JEEP', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TANKER', 'VAN']"
Electronic City,Tuesday,7,7,"['CAR', 'GOODS AUTO', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'VAN']"
Electronic City,Tuesday,8,9,"['CAR', 'FACTORY BUS', 'HGV', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'SCHOOL VEHICLE', 'SCOOTER', 'TANKER']"
Electronic City,Tuesday,9,1,['CAR']
Electronic City,Tuesday,10,3,"['CAR', 'MOTOR CYCLE', 'SCOOTER']"
Electronic City,Tuesday,19,1,['MOTOR CYCLE']
Electronic City,Tuesday,20,8,"['CAR', 'FACTORY BUS', 'HGV', 'LGV', 'LORRY/GOODS VEHICLE', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO']"
Electronic City,Tuesday,21,9,"['CAR', 'GOODS AUTO', 'HGV', 'LGV', 'LORRY/GOODS VEHICLE', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER']"
Electronic City,Tuesday,22,5,"['CAR', 'LGV', 'MOTOR CYCLE', 'SCOOTER', 'TEMPO']"
Electronic City,Tuesday,23,5,"['CAR', 'LGV', 'MOTOR CYCLE', 'PRIVATE BUS', 'SCOOTER']"
Electronic City,Wednesday,0,6,"['CAR', 'LGV', 'LORRY/GOODS VEHICLE', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Electronic City,Wednesday,1,4,"['CAR', 'HGV', 'MOTOR CYCLE', 'SCOOTER']"
Electronic City,Wednesday,2,5,"['CAR', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Electronic City,Wednesday,3,2,"['CAR', 'LGV']"
Electronic City,Wednesday,4,3,"['CAR', 'LGV', 'PASSENGER AUTO']"
Electronic City,Wednesday,5,6,"['BUS (BMTC/KSRTC)', 'CAR', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Electronic City,Wednesday,6,12,"['BUS (BMTC/KSRTC)', 'CAR', 'FACTORY BUS', 'GOODS AUTO', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'VAN']"
Electronic City,Wednesday,7,8,"['CAR', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER']"
Electronic City,Wednesday,8,5,"['CAR', 'LORRY/GOODS VEHICLE', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
Electronic City,Wednesday,9,2,"['CAR', 'FACTORY BUS']"
Electronic City,Wednesday,11,1,['CAR']
Electronic City,Wednesday,20,9,"['CAR', 'FACTORY BUS', 'HGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOTOR CYCLE', 'OTHERS', 'SCOOTER', 'TANKER']"
Electronic City,Wednesday,21,11,"['CAR', 'FACTORY BUS', 'HGV', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'TEMPO']"
Electronic City,Wednesday,22,12,"['CAR', 'GOODS AUTO', 'HGV', 'JEEP', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PRIVATE BUS', 'SCOOTER', 'TOURIST BUS']"
Electronic City,Wednesday,23,6,"['CAR', 'GOODS AUTO', 'JEEP', 'LGV', 'MOTOR CYCLE', 'SCOOTER']"
HAL Old Airport,Friday,0,11,"['BUS (BMTC/KSRTC)', 'CAR', 'JEEP', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO', 'VAN']"
HAL Old Airport,Friday,1,12,"['CAR', 'GOODS AUTO', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCHOOL VEHICLE', 'SCOOTER', 'TANKER', 'VAN']"
HAL Old Airport,Friday,2,12,"['BUS (BMTC/KSRTC)', 'CAR', 'GOODS AUTO', 'JEEP', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER', 'TANKER', 'VAN']"
HAL Old Airport,Friday,3,10,"['CAR', 'GOODS AUTO', 'HGV', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TRACTOR', 'VAN']"
HAL Old Airport,Friday,4,14,"['BUS (BMTC/KSRTC)', 'CAR', 'FACTORY BUS', 'GOODS AUTO', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER', 'TANKER', 'TEMPO', 'TRACTOR', 'VAN']"
HAL Old Airport,Friday,5,8,"['BUS (BMTC/KSRTC)', 'CAR', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO']"
HAL Old Airport,Friday,6,7,"['CAR', 'GOODS AUTO', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'VAN']"
HAL Old Airport,Friday,7,7,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'OTHERS', 'PRIVATE BUS', 'SCOOTER', 'TEMPO']"
HAL Old Airport,Friday,8,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
HAL Old Airport,Friday,9,3,"['MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO']"
HAL Old Airport,Friday,19,6,"['CAR', 'GOODS AUTO', 'HGV', 'LGV', 'MAXI-CAB', 'TANKER']"
HAL Old Airport,Friday,20,14,"['BUS (BMTC/KSRTC)', 'CAR', 'FACTORY BUS', 'HGV', 'JEEP', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'TEMPO', 'TOURIST BUS']"
HAL Old Airport,Friday,21,13,"['BUS (BMTC/KSRTC)', 'CAR', 'FACTORY BUS', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'TANKER', 'TEMPO', 'VAN']"
HAL Old Airport,Friday,22,13,"['BUS (BMTC/KSRTC)', 'CAR', 'FACTORY BUS', 'GOODS AUTO', 'JEEP', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'TEMPO']"
HAL Old Airport,Friday,23,13,"['BUS (BMTC/KSRTC)', 'CAR', 'GOODS AUTO', 'JEEP', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'TEMPO', 'TOURIST BUS']"
HAL Old Airport,Monday,0,5,"['BUS (BMTC/KSRTC)', 'CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'SCOOTER']"
HAL Old Airport,Monday,1,10,"['BUS (BMTC/KSRTC)', 'CAR', 'JEEP', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO']"
HAL Old Airport,Monday,2,9,"['CAR', 'JEEP', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER', 'VAN']"
HAL Old Airport,Monday,3,6,"['CAR', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
HAL Old Airport,Monday,4,6,"['CAR', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
HAL Old Airport,Monday,5,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
HAL Old Airport,Monday,6,10,"['CAR', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'TANKER', 'TOURIST BUS']"
HAL Old Airport,Monday,7,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
HAL Old Airport,Monday,8,6,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TRACTOR']"
HAL Old Airport,Monday,9,4,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
HAL Old Airport,Monday,10,2,"['CAR', 'SCOOTER']"
HAL Old Airport,Monday,11,1,['MOTOR CYCLE']
HAL Old Airport,Monday,14,1,['CAR']
HAL Old Airport,Monday,18,1,['CAR']
HAL Old Airport,Monday,19,8,"['CAR', 'HGV', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
HAL Old Airport,Monday,20,11,"['BUS (BMTC/KSRTC)', 'CAR', 'GOODS AUTO', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'TANKER']"
HAL Old Airport,Monday,21,17,"['BUS (BMTC/KSRTC)', 'CAR', 'FACTORY BUS', 'HGV', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'TANKER', 'TEMPO', 'TOURIST BUS', 'TRACTOR', 'VAN']"
HAL Old Airport,Monday,22,16,"['BUS (BMTC/KSRTC)', 'CAR', 'GOODS AUTO', 'HGV', 'JEEP', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'TEMPO', 'TOURIST BUS', 'VAN']"
HAL Old Airport,Monday,23,17,"['BUS (BMTC/KSRTC)', 'CAR', 'FACTORY BUS', 'GOODS AUTO', 'HGV', 'JEEP', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'TANKER', 'TEMPO', 'TOURIST BUS', 'VAN']"
HAL Old Airport,Saturday,0,14,"['BUS (BMTC/KSRTC)', 'CAR', 'GOODS AUTO', 'HGV', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO', 'TOURIST BUS', 'VAN']"
HAL Old Airport,Saturday,1,12,"['CAR', 'GOODS AUTO', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO', 'TRACTOR', 'VAN']"
HAL Old Airport,Saturday,2,11,"['CAR', 'GOODS AUTO', 'LGV', 'MAXI-CAB', 'MINI LORRY', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TANKER', 'TEMPO', 'VAN']"
HAL Old Airport,Saturday,3,10,"['CAR', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'TEMPO', 'VAN']"
HAL Old Airport,Saturday,4,8,"['BUS (BMTC/KSRTC)', 'CAR', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO']"
HAL Old Airport,Saturday,5,13,"['BUS (BMTC/KSRTC)', 'CAR', 'GOODS AUTO', 'HGV', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER']"
HAL Old Airport,Saturday,6,8,"['CAR', 'GOODS AUTO', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER']"
HAL Old Airport,Saturday,7,8,"['CAR', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER']"
HAL Old Airport,Saturday,8,7,"['CAR', 'GOODS AUTO', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER']"
HAL Old Airport,Saturday,9,6,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'TANKER']"
HAL Old Airport,Saturday,11,2,"['MOTOR CYCLE', 'SCOOTER']"
HAL Old Airport,Saturday,19,1,['CAR']
HAL Old Airport,Saturday,20,8,"['BUS (BMTC/KSRTC)', 'CAR', 'JEEP', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TOURIST BUS']"
HAL Old Airport,Saturday,21,10,"['BUS (BMTC/KSRTC)', 'CAR', 'FACTORY BUS', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TANKER']"
HAL Old Airport,Saturday,22,11,"['BUS (BMTC/KSRTC)', 'CAR', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TANKER', 'TEMPO', 'TOURIST BUS', 'VAN']"
HAL Old Airport,Saturday,23,13,"['BUS (BMTC/KSRTC)', 'CAR', 'JEEP', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'TANKER', 'TEMPO', 'TOURIST BUS']"
HAL Old Airport,Sunday,0,8,"['BUS (BMTC/KSRTC)', 'CAR', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
HAL Old Airport,Sunday,1,6,"['BUS (BMTC/KSRTC)', 'CAR', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
HAL Old Airport,Sunday,2,10,"['CAR', 'GOODS AUTO', 'JEEP', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO', 'VAN']"
HAL Old Airport,Sunday,3,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
HAL Old Airport,Sunday,4,8,"['CAR', 'GOODS AUTO', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO']"
HAL Old Airport,Sunday,5,7,"['CAR', 'JEEP', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
HAL Old Airport,Sunday,6,5,"['CAR', 'LGV', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
HAL Old Airport,Sunday,7,6,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO']"
HAL Old Airport,Sunday,8,5,"['BUS (BMTC/KSRTC)', 'CAR', 'MOTOR CYCLE', 'SCOOTER', 'TEMPO']"
HAL Old Airport,Sunday,9,3,"['CAR', 'MOTOR CYCLE', 'PASSENGER AUTO']"
HAL Old Airport,Sunday,11,3,"['CAR', 'MOTOR CYCLE', 'SCOOTER']"
HAL Old Airport,Sunday,19,4,"['CAR', 'GOODS AUTO', 'MOTOR CYCLE', 'SCOOTER']"
HAL Old Airport,Sunday,20,5,"['CAR', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'SCOOTER']"
HAL Old Airport,Sunday,21,10,"['BUS (BMTC/KSRTC)', 'CAR', 'GOODS AUTO', 'JEEP', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TRACTOR']"
HAL Old Airport,Sunday,22,8,"['BUS (BMTC/KSRTC)', 'CAR', 'GOODS AUTO', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
HAL Old Airport,Sunday,23,10,"['BUS (BMTC/KSRTC)', 'CAR', 'GOODS AUTO', 'JEEP', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PRIVATE BUS', 'SCOOTER', 'TEMPO']"
HAL Old Airport,Thursday,0,14,"['BUS (BMTC/KSRTC)', 'CAR', 'GOODS AUTO', 'HGV', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TANKER', 'TEMPO', 'TRACTOR']"
HAL Old Airport,Thursday,1,10,"['BUS (BMTC/KSRTC)', 'CAR', 'GOODS AUTO', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO', 'VAN']"
HAL Old Airport,Thursday,2,16,"['CAR', 'FACTORY BUS', 'GOODS AUTO', 'HGV', 'JEEP', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCHOOL VEHICLE', 'SCOOTER', 'TEMPO', 'TOURIST BUS', 'TRACTOR']"
HAL Old Airport,Thursday,3,14,"['BUS (BMTC/KSRTC)', 'CAR', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCHOOL VEHICLE', 'SCOOTER', 'TEMPO', 'TRACTOR', 'VAN']"
HAL Old Airport,Thursday,4,12,"['CAR', 'FACTORY BUS', 'GOODS AUTO', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO', 'TOURIST BUS']"
HAL Old Airport,Thursday,5,17,"['BUS (BMTC/KSRTC)', 'CAR', 'GOODS AUTO', 'HGV', 'JEEP', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER', 'TANKER', 'TEMPO', 'TOURIST BUS', 'VAN']"
HAL Old Airport,Thursday,6,10,"['CAR', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MINI LORRY', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER']"
HAL Old Airport,Thursday,7,8,"['BUS (BMTC/KSRTC)', 'CAR', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO']"
HAL Old Airport,Thursday,8,7,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'OTHERS', 'PRIVATE BUS', 'SCOOTER', 'TOURIST BUS']"
HAL Old Airport,Thursday,9,5,"['CAR', 'MOTOR CYCLE', 'PRIVATE BUS', 'SCOOTER', 'TOURIST BUS']"
HAL Old Airport,Thursday,11,1,['PRIVATE BUS']
HAL Old Airport,Thursday,12,2,"['CAR', 'GOODS AUTO']"
HAL Old Airport,Thursday,18,5,"['CAR', 'FACTORY BUS', 'LGV', 'MAXI-CAB', 'PASSENGER AUTO']"
HAL Old Airport,Thursday,19,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
HAL Old Airport,Thursday,20,14,"['BUS (BMTC/KSRTC)', 'CAR', 'FACTORY BUS', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCHOOL VEHICLE', 'SCOOTER', 'TANKER', 'TEMPO', 'TOURIST BUS', 'VAN']"
HAL Old Airport,Thursday,21,17,"['BUS (BMTC/KSRTC)', 'CAR', 'FACTORY BUS', 'GOODS AUTO', 'HGV', 'JEEP', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'TANKER', 'TEMPO', 'TOURIST BUS', 'VAN']"
HAL Old Airport,Thursday,22,14,"['BUS (BMTC/KSRTC)', 'CAR', 'JEEP', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'TANKER', 'TEMPO', 'TOURIST BUS']"
HAL Old Airport,Thursday,23,16,"['BUS (BMTC/KSRTC)', 'CAR', 'GOODS AUTO', 'HGV', 'JEEP', 'LGV', 'MAXI-CAB', 'MINI LORRY', 'MOPED', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER', 'TANKER', 'TEMPO', 'TOURIST BUS']"
HAL Old Airport,Tuesday,0,12,"['BUS (BMTC/KSRTC)', 'CAR', 'GOODS AUTO', 'LGV', 'MAXI-CAB', 'MINI LORRY', 'MOPED', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO']"
HAL Old Airport,Tuesday,1,13,"['CAR', 'GOODS AUTO', 'HGV', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TANKER', 'TEMPO', 'VAN']"
HAL Old Airport,Tuesday,2,11,"['CAR', 'GOODS AUTO', 'JEEP', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TOURIST BUS']"
HAL Old Airport,Tuesday,3,14,"['BUS (BMTC/KSRTC)', 'CAR', 'HGV', 'JEEP', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'TEMPO', 'TOURIST BUS', 'VAN']"
HAL Old Airport,Tuesday,4,10,"['CAR', 'GOODS AUTO', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO', 'TOURIST BUS']"
HAL Old Airport,Tuesday,5,15,"['BUS (BMTC/KSRTC)', 'CAR', 'GOODS AUTO', 'HGV', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'TANKER', 'TEMPO', 'TOURIST BUS']"
HAL Old Airport,Tuesday,6,9,"['BUS (BMTC/KSRTC)', 'CAR', 'LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'VAN']"
HAL Old Airport,Tuesday,7,5,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER']"
HAL Old Airport,Tuesday,8,4,"['LGV', 'MAXI-CAB', 'MOTOR CYCLE', 'SCOOTER']"
HAL Old Airport,Tuesday,9,4,"['CAR', 'MAXI-CAB', 'MOTOR CYCLE', 'VAN']"
HAL Old Airport,Tuesday,10,1,['CAR']
HAL Old Airport,Tuesday,16,3,"['CAR', 'MOTOR CYCLE', 'SCOOTER']"
HAL Old Airport,Tuesday,19,12,"['BUS (BMTC/KSRTC)', 'CAR', 'GOODS AUTO', 'HGV', 'LGV', 'MINI LORRY', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER', 'TANKER', 'VAN']"
HAL Old Airport,Tuesday,20,13,"['BUS (BMTC/KSRTC)', 'CAR', 'GOODS AUTO', 'LGV', 'MAXI-CAB', 'MINI LORRY', 'MOTOR CYCLE', 'OTHERS', 'PRIVATE BUS', 'SCOOTER', 'TANKER', 'TEMPO', 'TOURIST BUS']"
HAL Old Airport,Tuesday,21,16,"['BUS (BMTC/KSRTC)', 'CAR', 'FACTORY BUS', 'GOODS AUTO', 'JEEP', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'TEMPO', 'TOURIST BUS', 'VAN']"
HAL Old Airport,Tuesday,22,13,"['BUS (BMTC/KSRTC)', 'CAR', 'FACTORY BUS', 'GOODS AUTO', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO', 'TOURIST BUS']"
HAL Old Airport,Tuesday,23,13,"['BUS (BMTC/KSRTC)', 'CAR', 'GOODS AUTO', 'JEEP', 'LGV', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'PASSENGER AUTO', 'PRIVATE BUS', 'SCOOTER', 'TEMPO', 'VAN']"
HAL Old Airport,Wednesday,0,13,"['BUS (BMTC/KSRTC)', 'CAR', 'GOODS AUTO', 'LGV', 'LORRY/GOODS VEHICLE', 'MAXI-CAB', 'MOPED', 'MOTOR CYCLE', 'OTHERS', 'PASSENGER AUTO', 'SCOOTER', 'TEMPO', 'TOURIST BUS']"
